name,train_station
Watkinstown,1
Mariahaven,0
South Dana,0
Troyfort,1
Liuville,1
Hardyborough,1
West Jose,1
Lake Wandafort,1
Mooreview,0
West Cherylstad,0
Port Bryan,1
Edwardberg,0
New Mariahfurt,1
Kaiserfort,0
Lake Larry,0
Port Travismouth,1
North Michellechester,1
Chapmanville,1
Williammouth,0
East Stacie,1
Gillchester,0
North Jacqueline,0
North Alec,1
South Mark,1
Smithview,1
Port Gwendolyn,0
Michaelside,1
Hineshaven,1
Kennethfurt,1
New Tonyachester,1
Robertborough,0
South Christinaberg,1
Kellybury,1
West Natalie,0
Kyletown,0
Linfurt,1
South Dawn,1
Port Joseph,0
New Emilytown,1
Davidbury,0
Lake Katie,0
North Dylan,0
Lake Juliehaven,1
Williamland,0
Derekbury,0
Valdezmouth,1
East Bobbyborough,1
North Roberthaven,0
South Erikaside,1
Kleinshire,1
Amyfurt,0
Riveraville,1
East Michael,1
New Michael,0
Jonesmouth,0
North Julie,0
Lake Brandon,0
Alexfurt,0
Kathrynburgh,0
Hillmouth,0
South Christopherborough,1
New Cynthia,1
Kellystad,0
Julieside,1
South Jennifershire,0
Mcmillanshire,1
Theresaborough,1
Larryland,0
North Christopherton,0
Christianstad,1
Frankview,1
Calderonchester,0
North Jayton,0
Maryland,0
Port Teresafort,1
Sheilatown,0
Billyberg,1
South Claytonland,1
North Eugene,1
Meganchester,0
Pattyburgh,1
East Christopher,1
Walkerstad,1
East Cheryl,1
New Jamie,1
Ortizton,1
Danielstad,0
South Tammyburgh,1
Barbaraport,0
Daniellestad,1
Jessicashire,1
Port Savannah,0
Lake Markstad,0
Lake Andrew,0
New Barbarahaven,0
Christensenfort,0
Lake Robert,1
Aaronberg,1
North Kelly,1
South Lindashire,0
Englishtown,1
Rebeccaton,1
Brownville,1
West Sean,1
Rodriguezmouth,1
Lake Jason,0
Wilkersonshire,1
North Jacquelinebury,1
New Kevin,1
Portertown,0
South Tyrone,1
South Hectorhaven,0
Mooreburgh,1
Grahamchester,0
Petersville,1
Mollyborough,0
Lake Daryl,1
Johnland,0
South Kevinland,0
East Jeffrey,1
Jacksontown,0
Dayville,1
West Dustin,1
New Davidmouth,0
West Jennifer,1
East Kristinland,1
North Johnland,1
Mcgeehaven,0
North Cody,1
Hernandezfurt,1
North Melissa,0
Maryside,0
Samuelborough,0
Cortezmouth,0
Reesestad,0
East Alexander,0
Scottfort,1
Holdenport,0
Jessicafurt,0
New Joshuaborough,1
New Erinhaven,1
Lake Charlesland,1
Port Thomaschester,1
North Kristin,1
Saundersmouth,1
Thompsonville,0
Lake Joseview,1
South Michaelton,0
Contrerasside,0
Kennethside,0
Lake Christopher,0
Andrewmouth,1
Lake Alex,0
West Nicholastown,0
West Kristenfurt,1
South Karen,1
Cindychester,0
Lake William,0
Harrismouth,1
Mcintoshhaven,0
Butlerton,1
Hartside,1
Alexandrahaven,1
New Tracy,1
Maxwellview,1
Kyleview,1
Justinberg,1
Claytonport,0
Greenmouth,1
