name,level,start_point,end_point,duration_days
Trail0,hard,3244,455,16
Trail1,easy,599,4676,14
Trail2,easy,8365,5769,14
Trail3,hard,8569,27,16
Trail4,hard,4450,2372,14
Trail5,easy,804,3110,28
Trail6,medium,8693,1965,23
Trail7,medium,4614,1366,9
Trail8,easy,5021,9648,30
Trail9,hard,5240,2343,21
Trail10,medium,1802,6736,11
Trail11,medium,7820,4501,26
Trail12,medium,3519,5294,12
Trail13,medium,4578,4150,9
Trail14,easy,8263,7592,9
Trail15,easy,9711,1777,18
Trail16,medium,9899,2119,12
Trail17,hard,3373,9004,11
Trail18,medium,6101,2365,25
Trail19,easy,5229,1941,7
Trail20,medium,2061,4106,2
Trail21,medium,6103,2366,16
Trail22,easy,7328,8319,7
Trail23,easy,391,636,16
Trail24,medium,3560,6769,28
Trail25,hard,2509,1916,11
Trail26,easy,787,7418,14
Trail27,hard,6133,4128,22
Trail28,medium,5709,331,17
Trail29,easy,8411,7114,7
Trail30,medium,1682,8748,7
Trail31,medium,4342,5234,30
Trail32,easy,2566,4097,30
Trail33,medium,4905,599,5
Trail34,medium,9887,6673,12
Trail35,medium,6219,6519,29
Trail36,hard,9812,719,30
Trail37,medium,685,348,2
Trail38,easy,6488,7843,8
Trail39,hard,8668,732,24
Trail40,easy,2383,7751,18
Trail41,easy,2880,6483,15
Trail42,medium,824,8140,14
Trail43,hard,9864,8997,28
Trail44,easy,2013,9684,16
Trail45,hard,3141,9439,27
Trail46,medium,9982,8474,22
Trail47,easy,4225,8274,16
Trail48,easy,7824,1259,21
Trail49,medium,2150,5782,10
Trail50,medium,4876,3143,26
Trail51,hard,2921,2264,27
Trail52,easy,625,3027,18
Trail53,hard,8149,8577,5
Trail54,hard,7751,8736,27
Trail55,hard,9184,9248,7
Trail56,medium,2937,4211,24
Trail57,hard,3193,3292,27
Trail58,easy,8950,6528,28
Trail59,medium,6716,3525,23
Trail60,easy,6507,3947,23
Trail61,hard,9639,5438,4
Trail62,medium,7970,5107,2
Trail63,hard,3849,1268,5
Trail64,medium,3017,9848,4
Trail65,easy,5001,4417,3
Trail66,hard,8944,9488,30
Trail67,medium,36,3960,7
Trail68,easy,3852,341,24
Trail69,hard,1081,3149,1
Trail70,hard,2897,4083,13
Trail71,easy,9501,9395,25
Trail72,medium,8674,4374,8
Trail73,easy,2203,7752,9
Trail74,easy,4764,1522,7
Trail75,hard,6942,153,11
Trail76,medium,297,5754,20
Trail77,easy,6798,1653,21
Trail78,hard,2916,5747,18
Trail79,hard,2464,9883,8
Trail80,medium,1098,5786,7
Trail81,medium,3900,387,6
Trail82,easy,550,3345,4
Trail83,medium,4238,9896,12
Trail84,easy,4375,7426,8
Trail85,hard,8613,3242,3
Trail86,medium,1687,2325,8
Trail87,easy,221,972,22
Trail88,easy,2376,2351,28
Trail89,hard,5265,88,21
Trail90,easy,203,3993,4
Trail91,easy,4549,8776,26
Trail92,hard,7933,5254,22
Trail93,hard,8672,4015,4
Trail94,hard,6045,73,10
Trail95,easy,4802,8595,11
Trail96,medium,8143,58,14
Trail97,medium,368,5229,12
Trail98,hard,246,2463,19
Trail99,medium,5229,1977,13
Trail100,hard,1563,6249,11
Trail101,medium,9890,7605,9
Trail102,medium,4416,6599,28
Trail103,hard,2506,6653,19
Trail104,medium,5749,1782,3
Trail105,hard,7247,283,29
Trail106,hard,2435,9276,16
Trail107,hard,2896,1577,23
Trail108,hard,1451,9512,11
Trail109,hard,2765,6243,23
Trail110,hard,5564,4123,17
Trail111,easy,9118,1905,25
Trail112,hard,8649,4070,17
Trail113,hard,1528,7753,14
Trail114,hard,7768,5174,6
Trail115,hard,171,7189,25
Trail116,hard,2847,465,22
Trail117,medium,6468,3795,1
Trail118,hard,4781,2986,3
Trail119,hard,1562,4367,26
Trail120,medium,6531,868,9
Trail121,easy,2014,2724,8
Trail122,hard,8574,4256,9
Trail123,medium,740,1559,26
Trail124,hard,4811,8807,7
Trail125,medium,4701,5963,11
Trail126,medium,8394,1019,3
Trail127,easy,2812,208,14
Trail128,easy,3796,4571,26
Trail129,medium,5609,8389,11
Trail130,medium,6860,3998,5
Trail131,medium,181,252,1
Trail132,medium,9564,4033,27
Trail133,hard,7430,7848,4
Trail134,hard,6315,8835,25
Trail135,medium,3277,2183,17
Trail136,hard,6092,3801,21
Trail137,hard,8809,1343,6
Trail138,medium,9834,1787,20
Trail139,easy,1247,1411,24
Trail140,easy,1806,33,25
Trail141,easy,4665,6603,4
Trail142,hard,5588,7407,22
Trail143,hard,2332,7686,5
Trail144,easy,3850,611,30
Trail145,medium,7715,7249,3
Trail146,medium,9865,2685,13
Trail147,hard,7002,1486,4
Trail148,medium,2851,9222,21
Trail149,hard,9990,6307,1
Trail150,hard,330,4559,10
Trail151,hard,3342,2883,25
Trail152,easy,9340,6651,13
Trail153,medium,6437,2100,25
Trail154,hard,2502,8839,9
Trail155,easy,772,6248,28
Trail156,medium,929,2464,18
Trail157,easy,6316,2978,21
Trail158,hard,101,7194,24
Trail159,medium,1344,5446,12
Trail160,hard,9933,4344,26
Trail161,hard,2260,5207,2
Trail162,easy,7485,3768,19
