trail_id,user_id,score
6868,4833,9
2108,2242,10
3857,8024,5
6233,5115,1
1259,5964,7
3410,6006,6
2053,2615,7
7835,3388,4
3511,4847,4
9048,6327,5
2092,3619,3
635,1437,4
1150,6083,1
6592,3210,4
9604,4315,1
1632,834,1
3394,8052,9
8803,3631,7
3321,3746,7
4984,7852,3
365,4637,4
7586,1107,1
1652,8738,6
4619,9731,5
7280,9344,7
2016,11,10
1272,2193,8
5034,3758,2
89,2613,4
7272,7826,8
8188,3527,4
2652,1408,8
614,719,2
827,3946,10
1341,3730,10
451,8354,7
5054,802,2
491,1119,5
4896,2874,4
7278,211,3
2087,7920,9
6611,9234,9
8940,6373,10
6295,8083,5
5619,9639,3
5923,7688,5
9919,1114,2
6695,1072,3
7165,7700,4
2212,1334,6
806,3987,9
2452,5509,7
3883,7975,8
3756,9686,8
2588,880,10
8245,7595,6
3306,4719,8
3167,7968,1
4193,6031,4
2467,7939,4
2339,2802,4
2337,6051,6
540,277,7
1382,2637,2
3485,2238,9
5274,2423,6
474,4254,4
8036,9989,7
502,3788,3
1146,6704,3
8875,462,4
455,6824,7
2917,5091,6
9256,1240,4
9018,3972,8
6348,5195,3
2804,4407,9
4813,3756,3
4012,5093,6
9468,1937,1
9248,3309,3
7938,5290,3
9478,6261,10
957,4078,7
7924,8765,3
450,4739,5
4967,1271,10
1490,6470,10
2444,8797,6
3921,5436,3
5286,5083,10
6902,5757,6
3616,6549,7
922,2623,3
5342,3535,3
9111,8366,6
508,9326,4
2835,2678,9
8828,1857,6
5856,4110,4
126,2201,7
358,8337,2
6651,368,8
4460,5428,4
5379,8877,3
5268,3719,7
1788,706,5
553,3618,6
694,6194,7
4004,355,10
3678,8573,8
5670,2812,10
2688,8622,7
6974,8896,6
315,4889,1
9821,3675,1
3452,7418,9
4954,6608,10
1215,6100,8
7158,1126,2
5103,7771,10
3045,5837,10
4797,6111,8
889,3332,5
2182,1681,3
7871,7175,9
3377,2293,8
580,7208,10
2779,3255,7
9643,9278,1
9442,1515,3
481,5395,6
2668,3410,1
521,2529,1
4171,1716,10
