trail_id,animal
408,russian
5773,fox
4900,wolf
4371,russian
8451,fox
4085,russian
2323,wolf
1645,bear
2320,wolf
6969,wolf
3562,russian
6596,russian
1260,russian
5033,wolf
2965,wolf
2619,wolf
1295,russian
9347,fox
468,russian
213,bear
3589,wolf
4198,fox
6015,russian
1615,fox
4776,fox
2889,russian
3018,fox
9923,wolf
6083,bear
5980,russian
3673,fox
8531,fox
6009,fox
2136,russian
1801,fox
5626,fox
80,bear
1415,fox
5789,wolf
1591,fox
5214,fox
7737,wolf
3002,wolf
8289,wolf
2166,fox
5746,russian
3855,bear
6407,russian
3198,bear
9514,russian
4376,fox
5951,russian
3689,wolf
9862,fox
6342,fox
3058,wolf
802,fox
9277,wolf
3475,bear
4934,bear
4106,russian
9907,russian
5912,fox
2084,bear
6771,fox
1033,fox
5623,bear
5326,wolf
996,bear
4739,fox
1636,wolf
7682,bear
2546,russian
8211,bear
5321,russian
5422,russian
8721,fox
7145,bear
8811,fox
1096,bear
2866,russian
1428,fox
9513,bear
4360,wolf
4949,russian
4949,russian
1061,bear
6711,fox
1155,fox
3650,russian
2443,bear
4069,fox
2359,russian
4328,wolf
4480,fox
784,bear
5703,russian
7722,wolf
4529,wolf
1416,bear
3591,bear
2267,bear
2843,wolf
8607,fox
8027,russian
4388,wolf
4201,wolf
3769,fox
6274,bear
4864,fox
102,bear
5366,wolf
9715,fox
7129,russian
747,russian
5013,bear
1552,bear
9970,russian
4357,fox
6313,bear
6033,bear
1089,russian
8275,fox
4714,wolf
3664,russian
4331,russian
1321,bear
3829,russian
1442,wolf
2839,russian
9003,bear
7371,wolf
8006,fox
740,fox
6853,fox
3764,russian
6003,fox
8511,wolf
9237,russian
6619,bear
2953,fox
7815,fox
9644,bear
6572,wolf
8515,wolf
2386,bear
4505,bear
7887,fox
7890,russian
275,russian
9870,bear
8989,fox
9871,wolf
1252,russian
7440,wolf
9088,fox
6274,fox
1292,wolf
734,wolf
1053,wolf
5636,fox
684,wolf
8585,bear
2105,bear
4969,russian
2509,fox
2418,russian
9211,russian
9202,fox
6058,fox
1898,bear
3009,bear
7292,russian
9917,russian
6983,bear
319,russian
8906,fox
1788,bear
9404,bear
7366,wolf
1586,fox
4403,wolf
3840,russian
1789,fox
4880,fox
1397,fox
1087,wolf
2581,russian
929,wolf
5736,russian
9756,russian
989,fox
5956,bear
5326,wolf
4860,bear
5734,fox
1672,wolf
8459,russian
8069,fox
3952,russian
1698,fox
3430,wolf
8066,bear
9392,fox
5045,russian
878,wolf
5455,russian
9762,russian
3126,wolf
4401,fox
680,wolf
9273,russian
8547,fox
3479,russian
4193,wolf
2472,bear
6489,bear
7244,fox
9482,fox
375,wolf
325,wolf
825,fox
84,wolf
8814,russian
2880,fox
3763,russian
9463,fox
1749,russian
9012,wolf
4215,fox
4495,russian
4698,fox
3487,bear
4656,wolf
1060,bear
9485,wolf
5473,fox
6115,fox
6091,bear
3289,russian
9615,russian
8046,russian
3316,bear
8266,fox
6136,bear
679,russian
5358,wolf
8395,bear
9592,fox
2076,wolf
2338,fox
5725,bear
2361,fox
6063,fox
9516,bear
8187,wolf
4412,russian
6624,bear
9142,bear
1831,wolf
1768,russian
7292,russian
3992,russian
5679,wolf
2380,bear
9915,bear
1653,russian
2011,wolf
37,bear
6965,bear
2758,fox
5552,bear
8092,fox
4089,russian
5925,wolf
11,fox
740,wolf
3495,fox
5739,bear
3867,wolf
8759,wolf
4224,russian
5945,bear
6931,wolf
4688,fox
5096,bear
2597,russian
1052,russian
3687,bear
9879,bear
6925,fox
6824,russian
6744,fox
9601,bear
5509,bear
7926,wolf
277,russian
8319,bear
16,bear
5390,wolf
2131,fox
2953,fox
5511,fox
7949,bear
3665,wolf
3301,wolf
8860,russian
757,bear
9646,wolf
6943,wolf
9522,fox
2202,wolf
5100,russian
3451,wolf
1094,fox
8638,bear
5032,russian
7458,russian
7531,russian
52,russian
256,russian
5219,fox
4534,bear
8987,russian
2804,wolf
9718,bear
8566,russian
8324,bear
2392,bear
9737,bear
9429,fox
2243,fox
2225,bear
1262,russian
7030,bear
